Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Land Area(Km2),Latitude,Longitude
Gabon,89.33064019999999,87.26,157.374,13620000.0,87.72,1.246,0.0,0.966,43.6628712,8876.629620000002,6.6225000000000005,5529.999971499999,,1.097009737,7364.5147274,267667.0,-0.803689,11.609444
Gambia,59.440095,1.8199999999999998,1.49,34010000.0,48.7225,0.298,0.0,0.0,0.0,972.691828,3.1975000000000002,,,,,11300.0,13.466666,-16.56666666
Georgia,99.97999999999999,85.65,845.0,47695000.0,27.2075,2.336,0.0,9.132,79.5898942,19172.932399999998,3.9725,9764.999629,,2.1627745095999997,4421.326610800001,69700.0,42.315407,43.356892
Germany,100.0,100.0,,,15.6875,318.43600000000004,75.28,223.974,48.672679,45083.101800000004,2.9125,711112.5183,17.5559218,0.4964294052000001,45520.664408,357022.0,51.165691,10.451526
Ghana,81.61471,22.1,55.852,136215000.0,43.2325,8.7,0.0,6.4,43.112968,3060.9993999999997,2.87,17950.0002875,,4.9249313128,2151.8525658,238533.0,7.946527000000001,-1.023194
Greece,100.0,100.0,,,17.29,36.22,0.0,15.696000000000002,30.4534906,29094.5804,3.0425,64667.499540000004,14.219601599999999,-0.9884258734,18590.326288,131957.0,39.074208,21.824312
Grenada,92.5878476,89.94,25.232,720000.0,10.985,0.20600000000000002,0.0,0.0,0.0,10289.4982,2.5,304.9999997,,-0.09888310619999992,10067.392271,349.0,12.1165,-61.678999999999995
Guatemala,94.4684188,47.13,162.602,20522500.0,63.86750000000001,4.76,0.0,8.453999999999999,63.963250800000004,5685.2838600000005,4.275,17922.499655,,2.2854561178,4469.5498044,108889.0,15.783471,-90.230759
Guinea,40.153736,1.44,30.76,525072500.0,70.6425,0.648,0.0,1.3780000000000001,66.04518920000001,1245.5013199999999,5.6625,3464.99997375,,8.0227698792,959.03185932,245857.0,9.945587,-9.696645
Guinea-Bissau,28.352175,1.1,0.43200000000000005,2130000.0,86.59,0.08,0.0,0.0,0.0,748.3413859999999,8.94,317.500002675,,3.113143792,735.94981748,36125.0,11.803749,-15.180412999999998
Guyana,91.024171,77.78,64.478,22720000.0,17.9375,1.002,0.0,0.154,13.3266308,13093.1614,3.9825,2597.49996675,,12.163097970599999,6329.5242736,214969.0,4.860416,-58.93017999999999
Haiti,44.4054764,4.26,6.434,18777500.0,76.2375,0.8560000000000001,0.0,0.136,13.69718666,1217.832252,5.74,3324.9999285,,0.19251653700000002,1344.7857394,27750.0,18.971187,-72.285215
Honduras,90.801342,47.44,174.346,90515000.0,48.6025,4.7219999999999995,0.0,5.578,54.2733148,5456.84572,4.435,9750.000239,,1.2538373898000004,2440.2614408,112090.0,15.199999,-86.241905
